Date,Price,Volume
2022-07-25,16631.0,211392171
2022-07-26,16483.85,208208122
2022-07-27,16641.8,185210970
2022-07-28,16929.6,376256315
2022-07-29,17158.25,436059722
2022-08-01,17340.05,381532671
2022-08-02,17345.45,333639093
2022-08-03,17388.15,285414666
2022-08-04,17382.0,324981426
2022-08-05,17397.5,355310802
2022-08-08,17525.1,256994113
2022-08-10,17534.75,312716544
2022-08-11,17659.0,311247237
2022-08-12,17698.15,303872483
2022-08-16,17825.25,278042725
2022-08-17,17944.25,262768582
2022-08-18,17956.5,263914197
2022-08-19,17758.45,295627263
2022-08-22,17490.7,287559133
2022-08-23,17577.5,285616338
2022-08-24,17604.95,261953239
2022-08-25,17522.45,230181848
2022-08-26,17558.9,266636238
2022-08-29,17312.9,244854637
2022-08-30,17759.3,324687477
2022-09-01,17542.8,308526598
2022-09-02,17539.45,256268616
2022-09-05,17665.8,230309013
2022-09-06,17655.6,251204527
2022-09-07,17624.4,354137885
2022-09-08,17798.75,279845682
2022-09-09,17833.35,270299618
2022-09-12,17936.35,228242025
2022-09-13,18070.05,259922741
2022-09-14,18003.75,365866933
2022-09-15,17877.4,289637528
2022-09-16,17530.85,468464263
2022-09-19,17622.25,258329581
2022-09-20,17816.25,263100874
2022-09-21,17718.35,245532498
2022-09-22,17629.8,284094023
2022-09-23,17327.35,390754862
2022-09-26,17016.3,492002942
2022-09-27,17007.4,359895458
2022-09-28,16858.6,323922457
2022-09-29,16818.1,340034380
2022-09-30,17094.35,380204763
2022-10-03,16887.35,285850587
2022-10-04,17274.3,231601639
2022-10-06,17331.8,268239320
2022-10-07,17314.65,216273136
2022-10-10,17241.0,234005512
2022-10-11,16983.55,282617982
2022-10-12,17123.6,256037322
2022-10-13,17014.35,266438674
2022-10-14,17185.7,226997138
2022-10-17,17311.8,212223419
2022-10-18,17486.95,239493630
2022-10-19,17512.25,210480869
2022-10-20,17563.95,249604832
2022-10-21,17576.3,277702680
2022-10-24,17730.75,45029477
2022-10-25,17656.35,251358203
2022-10-27,17736.95,324649088
2022-10-28,17786.8,250030113
2022-10-31,18012.2,227174539
2022-11-01,18145.4,349924808
2022-11-02,18082.85,270878019
2022-11-03,18052.7,212968291
2022-11-04,18117.15,267941526
2022-11-07,18202.8,314758398
2022-11-09,18157.0,307155149
2022-11-10,18028.2,256451785
2022-11-11,18349.7,378469072
2022-11-14,18329.15,301401961
2022-11-15,18403.4,250926391
2022-11-16,18409.65,219268992
2022-11-17,18343.9,200512910
2022-11-18,18307.65,198794846
2022-11-21,18159.95,213794598
2022-11-22,18244.2,177681099
2022-11-23,18267.25,178791087
2022-11-24,18484.1,204044559
2022-11-25,18512.75,205876043
2022-11-28,18562.75,206468884
2022-11-29,18618.05,195255179
2022-11-30,18758.35,345636288
2022-12-01,18812.5,324955829
2022-12-02,18696.1,254401004
2022-12-05,18701.05,288393766
